Date,AAPL,AMZN,GOOGL,JPM,META,MSFT,NVDA,PG,UNH,XOM
2015-04-20,28.37295150756836,19.475500106811523,27.02232551574707,47.3822135925293,82.51361083984375,36.753108978271484,0.5320818424224854,60.95138168334961,99.73421478271484,54.475887298583984
2015-04-21,28.219526290893555,19.55900001525879,26.942428588867188,46.6854133605957,83.03994750976562,36.52185821533203,0.5313589572906494,61.10585021972656,100.32295227050781,54.25106430053711
2015-04-22,28.599763870239258,19.489999771118164,27.253084182739258,47.15744400024414,84.04293060302734,36.82162857055664,0.5373808145523071,61.11317825317383,99.0865478515625,54.61323928833008
2015-04-23,28.833229064941406,19.499500274658203,27.663976669311523,47.05255126953125,81.8383560180664,37.12141036987305,0.535213053226471,60.01811218261719,99.46504974365234,54.66320037841797
2015-04-24,28.968870162963867,22.2549991607666,28.467906951904297,46.902687072753906,80.96443176269531,41.001426696777344,0.5306366086006165,60.0551872253418,99.82673645019531,54.30728530883789
2015-04-27,29.4958553314209,21.92799949645996,28.09372901916504,46.7078971862793,81.34181213378906,41.138465881347656,0.5347315073013306,59.75860595703125,97.76607513427734,54.33226013183594
2015-04-28,29.031137466430664,21.465499877929688,28.00688934326172,47.02256393432617,80.1203384399414,42.10633850097656,0.5373808145523071,59.625144958496094,98.90152740478516,54.82556915283203
2015-04-29,28.604206085205078,21.4685001373291,27.859004974365234,47.65192794799805,79.91179656982422,42.020687103271484,0.5332859754562378,59.202545166015625,95.55406951904297,54.86927032470703
2015-04-30,27.828182220458984,21.089000701904297,27.232738494873047,47.39720916748047,78.22357940673828,41.66096496582031,0.5347315073013306,58.95045471191406,93.69529724121094,54.55707550048828
2015-05-01,28.673131942749023,21.14349937438965,27.351341247558594,47.659423828125,78.44205474853516,41.67807388305664,0.5479792356491089,59.52875518798828,95.209228515625,55.481224060058594
2015-05-04,28.617538452148438,21.152000427246094,27.434709548950195,48.4911003112793,78.26329803466797,41.31834411621094,0.5446068644523621,59.5732536315918,96.35306549072266,55.6435661315918
2015-05-05,27.97270965576172,21.059499740600586,26.948387145996094,48.251338958740234,77.02198028564453,40.770172119140625,0.5306366086006165,59.365657806396484,95.35222625732422,55.33133316040039
2015-05-06,27.797040939331055,20.954999923706055,26.55337142944336,47.89170455932617,77.5582275390625,39.63956832885742,0.5323224663734436,59.61034393310547,95.45316314697266,55.069087982177734
2015-05-07,27.968975067138672,21.3439998626709,26.898761749267578,48.32625198364258,77.88593292236328,39.999305725097656,0.5417162775993347,59.4620361328125,96.52129364013672,54.70068359375
2015-05-08,28.495927810668945,21.684499740600586,27.241668701171875,49.0680046081543,77.96538543701172,40.89864730834961,0.5017322301864624,60.025516510009766,97.29507446289062,55.56863021850586
2015-05-11,28.205665588378906,21.642499923706055,27.08435821533203,49.038047790527344,77.46884155273438,40.573184967041016,0.4969146251678467,59.51393508911133,96.52971649169922,54.63682556152344
2015-05-12,28.105182647705078,21.551000595092773,26.73450469970703,48.970619201660156,76.92267608642578,40.55603790283203,0.5017322301864624,59.27669143676758,96.42036437988281,54.78794479370117
2015-05-13,28.13644027709961,21.3435001373291,26.772214889526367,49.090484619140625,77.8958740234375,40.795867919921875,0.5046225786209106,59.09132385253906,97.44648742675781,54.498313903808594
2015-05-14,28.792905807495117,21.61400032043457,27.254074096679688,49.487586975097656,80.80554962158203,41.72947311401367,0.5128122568130493,59.73637008666992,99.69212341308594,54.75645065307617
2015-05-15,28.75270652770996,21.299999237060547,27.119590759277344,49.360225677490234,79.86212921142578,41.369720458984375,0.5130532383918762,60.09225082397461,100.364990234375,54.995697021484375
2015-05-18,29.06977653503418,21.261999130249023,27.128522872924805,49.76481246948242,80.31893157958984,41.121337890625,0.5123304128646851,59.862422943115234,100.76029205322266,54.680912017822266
2015-05-19,29.04299545288086,21.085500717163086,27.25804328918457,50.20687484741211,80.0706787109375,41.01789474487305,0.5091363787651062,59.92911148071289,101.39110565185547,54.769046783447266
2015-05-20,29.04074478149414,21.19300079345703,27.418333053588867,49.809776306152344,79.9912338256836,41.01789474487305,0.5091363787651062,59.669647216796875,101.971435546875,54.857181549072266
2015-05-21,29.33772087097168,21.581499099731445,27.63172149658203,49.937137603759766,79.92171478271484,40.879947662353516,0.5055065751075745,59.61772155761719,101.31539154052734,54.90756607055664
2015-05-22,29.594497680664062,21.381500244140625,27.518081665039062,49.80226135253906,79.9813003540039,40.43168640136719,0.5047805309295654,59.27669143676758,100.58368682861328,54.473121643066406
2015-05-26,28.942502975463867,21.273500442504883,27.154329299926758,49.24782943725586,78.77970123291016,40.164451599121094,0.5016347169876099,58.676124572753906,99.44821166992188,53.73651123046875
2015-05-27,29.482858657836914,21.570999145507812,27.50467872619629,49.80226135253906,79.9912338256836,41.04375076293945,0.5284951329231262,58.86148452758789,100.46589660644531,53.585384368896484
2015-05-28,29.424808502197266,21.328500747680664,27.50120735168457,49.5999870300293,79.59400177001953,40.90582275390625,0.5357544422149658,58.81700134277344,100.60888671875,53.585384368896484
2015-05-29,29.08987808227539,21.46150016784668,27.0615291595459,49.285301208496094,78.64067077636719,40.397186279296875,0.5355126857757568,58.12005615234375,101.10511779785156,53.64205551147461
2015-06-01,29.14793586730957,21.54599952697754,27.254573822021484,49.51007080078125,79.73304748535156,40.716163635253906,0.5415621995925903,58.46110534667969,100.8107681274414,53.59798049926758
2015-06-02,29.018428802490234,21.54949951171875,27.489795684814453,49.46510314941406,79.88199615478516,40.448917388916016,0.5309147238731384,58.23128890991211,99.03611755371094,53.60428237915039
2015-06-03,29.054149627685547,21.829500198364258,27.556291580200195,49.97460174560547,81.86813354492188,40.388580322265625,0.5251070857048035,58.246097564697266,99.54072570800781,53.48466491699219
2015-06-04,28.88445281982422,21.538999557495117,27.377641677856445,49.697391510009766,81.4808349609375,39.966148376464844,0.5345447063446045,57.94211196899414,98.11090087890625,53.025047302246094
